year,station_id,accumulate_precipitation
1987,USC00255080,7337.0
1987,USC00255310,5446.0
1987,USC00255470,4546.0
1987,USC00255565,7154.0
1987,USC00256040,7017.0
1987,USC00256135,6096.0
1987,USC00256570,9095.0
1987,USC00256970,5624.0
1987,USC00257070,7481.0
1987,USC00257515,6916.0
1987,USC00257715,8430.0
1987,USC00258395,9821.0
1987,USC00258465,9637.0
1987,USC00258480,8051.0
1987,USC00258915,6540.0
1987,USC00259090,10036.0
1987,USC00259510,8497.0
1987,USC00331072,9746.0
1987,USC00331152,9016.0
1987,USC00331541,8863.0
1987,USC00331592,6150.0
1987,USC00331890,8111.0
1987,USC00332098,6859.0
1987,USC00332119,6988.0
1987,USC00332791,7802.0
1987,USC00333375,8490.0
1987,USC00333758,7374.0
1987,USC00333780,10431.0
1987,USC00334189,8240.0
1987,USC00335041,7073.0
1987,USC00335315,8343.0
1987,USC00336118,7646.0
1987,USC00336196,8901.0
1987,USC00336600,6601.0
1987,USC00336781,7702.0
1987,USC00338313,7811.0
1987,USC00338534,7426.0
1987,USC00338552,6385.0
1987,USC00338769,9370.0
1987,USC00338822,7001.0
1987,USC00338830,5997.0
1987,USC00339312,8115.0
1988,USC00110072,5410.0
1988,USC00110187,11046.0
1988,USC00110338,7876.0
1988,USC00111280,8356.0
1988,USC00111436,8497.0
1988,USC00112140,7745.0
1988,USC00112193,7465.0
1988,USC00112348,6335.0
1988,USC00112483,10429.0
1988,USC00113335,6304.0
1988,USC00113879,6612.0
1988,USC00114108,8816.0
1988,USC00114198,7538.0
1988,USC00114442,7211.0
1988,USC00114823,5282.0
1988,USC00115079,3565.0
1988,USC00115326,6868.0
1988,USC00115515,9885.0
1988,USC00115712,7011.0
1988,USC00115768,5912.0
1988,USC00115833,6093.0
1988,USC00115901,5327.0
1988,USC00115943,10208.0
1988,USC00116446,10182.0
1988,USC00116526,6135.0
1988,USC00116558,8892.0
1988,USC00116579,8582.0
1988,USC00116610,9196.0
1988,USC00116910,5997.0
1988,USC00117551,7270.0
1988,USC00118147,9984.0
1988,USC00118740,7519.0
1988,USC00118916,6791.0
1988,USC00119241,6873.0
1988,USC00119354,6856.0
1988,USC00120177,7731.0
1988,USC00120200,8704.0
1988,USC00120676,6301.0
1988,USC00120784,8585.0
1988,USC00121030,9746.0
1988,USC00121229,7564.0
1988,USC00121425,11411.0
1988,USC00121747,9610.0
1988,USC00121873,8455.0
1988,USC00122149,6580.0
1988,USC00123418,9578.0
1988,USC00123513,8447.0
1988,USC00123527,8194.0
1988,USC00124008,8748.0
1988,USC00124181,7237.0
1988,USC00124837,9739.0
1988,USC00125237,10691.0
1988,USC00125337,7048.0
1988,USC00126001,9484.0
1988,USC00126580,8506.0
1988,USC00126705,6781.0
1988,USC00127125,11071.0
1988,USC00127298,7481.0
1988,USC00127482,7869.0
1988,USC00127522,8936.0
1988,USC00127646,9096.0
1988,USC00127755,11138.0
1988,USC00127875,10861.0
1988,USC00127935,8862.0
1988,USC00128036,9576.0
1988,USC00129080,9616.0
1988,USC00129113,9151.0
1988,USC00129253,9072.0
1988,USC00129511,4594.0
1988,USC00129557,7757.0
1988,USC00129670,8109.0
1988,USC00130112,5160.0
1988,USC00130133,5687.0
1988,USC00130600,4788.0
1988,USC00131402,5979.0
1988,USC00131533,4398.0
1988,USC00131635,4981.0
1988,USC00132724,4708.0
1988,USC00132789,4975.0
1988,USC00132864,5624.0
1988,USC00132977,6716.0
