yearstation_id,year,station_id,avg_max_temperature,avg_min_temperature
1985USC00134735,1985,USC00134735,139.07692307692307,24.068681318681318
1985USC00134894,1985,USC00134894,149.413698630137,22.378082191780823
1985USC00135769,1985,USC00135769,156.65642458100558,46.16901408450704
1985USC00135796,1985,USC00135796,154.4986301369863,41.85950413223141
1985USC00135952,1985,USC00135952,133.44505494505495,17.585164835164836
1985USC00137147,1985,USC00137147,136.41525423728814,-4.32054794520548
1985USC00137161,1985,USC00137161,143.0986301369863,19.873972602739727
1985USC00137979,1985,USC00137979,126.64109589041095,4.558904109589041
1985USC00138296,1985,USC00138296,132.47123287671232,14.849315068493151
1985USC00138688,1985,USC00138688,157.0054794520548,41.74794520547945
1985USC00250070,1985,USC00250070,24.434782608695652,-98.4695652173913
1985USC00250130,1985,USC00250130,149.1153846153846,4.934065934065934
